Date,Open,High,Low,Close,Volume,Adj Close
2007-04-04,9.18,9.2,8.98,9.13,24958600,7.9639999999999995
2007-04-05,9.1,9.24,9.0,9.19,25732300,8.017000000000001
2007-04-06,9.12,9.77,9.06,9.43,38276600,8.226
2007-04-09,9.45,9.55,9.36,9.49,36913400,8.277999999999999
2007-04-10,9.51,9.56,9.05,9.35,30785900,8.156
2007-04-11,9.35,9.52,9.08,9.45,41625400,8.243
2007-04-12,9.46,9.75,9.34,9.73,55510600,8.488
2007-04-13,9.78,10.19,9.65,9.77,72539500,8.523
2007-04-16,9.78,10.05,9.75,9.97,45452600,8.697000000000001
2007-04-17,10.01,10.5,9.91,10.45,62004700,9.116
2007-04-18,10.27,10.45,10.11,10.35,53243100,9.029
2007-04-19,10.28,10.28,9.32,9.54,75461400,8.322000000000001
2007-04-20,9.56,10.18,9.56,10.06,51081000,8.776
2007-04-23,10.1,10.55,10.1,10.51,59797800,9.168
2007-04-24,10.62,11.45,10.5,11.14,80442800,9.718
2007-04-25,11.88,12.25,10.64,11.19,59810600,9.761000000000001
2007-04-26,11.28,11.48,10.92,11.2,44544200,9.77
2007-04-27,11.24,12.3,11.11,12.1,89069500,10.555
2007-04-30,12.1,13.05,11.9,12.83,76161000,11.192
2007-05-01,12.1,13.05,11.9,12.83,0,11.192
2007-05-02,12.1,13.05,11.9,12.83,0,11.192
2007-05-03,12.1,13.05,11.9,12.83,0,11.192
2007-05-04,12.1,13.05,11.9,12.83,0,11.192
2007-05-07,12.1,13.05,11.9,12.83,0,11.192
2007-05-08,13.28,13.5,12.88,13.02,73410900,11.357999999999999
2007-05-09,12.96,13.8,12.58,13.41,81564200,11.698
2007-05-10,13.45,13.55,12.97,13.22,50950800,11.532
2007-05-11,13.11,13.11,12.58,12.75,53288600,11.122
2007-05-14,12.5,12.98,12.3,12.76,42210600,11.130999999999998
2007-05-15,12.78,12.97,11.9,11.98,52318800,10.45
2007-05-16,11.98,11.98,11.98,11.98,0,10.45
2007-05-17,12.55,12.78,12.4,12.55,45691700,10.948
2007-05-18,12.55,12.55,12.22,12.31,37846000,10.738
2007-05-21,11.74,12.87,11.66,12.6,51309100,10.991
2007-05-22,12.72,12.99,12.57,12.8,55893300,11.165999999999999
2007-05-23,12.8,13.6,12.8,13.34,63896400,11.637
2007-05-24,13.38,13.44,12.65,12.97,64554300,11.314
2007-05-25,12.81,13.46,12.71,13.45,77903500,11.732999999999999
2007-05-28,13.97,14.76,13.7,14.46,112572600,12.614
2007-05-29,14.4,14.99,14.22,14.81,83329700,12.919
2007-05-30,14.0,15.7,13.7,14.63,140810200,12.762
2007-05-31,14.58,15.27,13.17,15.07,119300500,13.145999999999999
2007-06-01,15.15,15.75,14.0,14.16,99722500,12.352
2007-06-04,13.94,13.94,12.59,12.59,27433400,11.116
2007-06-05,11.33,12.2,11.33,12.17,84401700,10.745
2007-06-06,12.25,12.72,11.7,12.22,60738000,10.789000000000001
2007-06-07,12.24,12.69,12.2,12.58,47765800,11.107000000000001
2007-06-08,12.62,13.09,12.5,12.72,46898800,11.231
2007-06-11,12.8,13.32,12.8,13.19,47056100,11.645999999999999
2007-06-12,13.21,14.39,12.8,14.25,71068400,12.582
2007-06-13,14.28,14.82,14.0,14.44,68732600,12.749
2007-06-14,14.25,14.56,13.81,13.94,45484300,12.308
2007-06-15,13.82,14.19,13.59,13.76,36067900,12.149000000000001
2007-06-18,14.1,14.79,13.88,14.56,54453500,12.855
2007-06-19,14.33,14.84,14.27,14.61,53298300,12.899000000000001
2007-06-20,14.61,15.13,14.0,14.22,57677100,12.555
2007-06-21,14.22,15.0,13.9,15.0,89137100,13.244000000000002
2007-06-22,15.25,15.36,13.8,14.2,78323600,12.537
2007-06-25,14.2,14.43,12.78,12.78,54562700,11.284
2007-06-26,12.4,13.1,12.0,13.06,38101300,11.530999999999999
2007-06-27,13.1,13.76,12.89,13.49,43957000,11.911
2007-06-28,13.3,13.63,12.2,12.22,38337100,10.789000000000001
2007-06-29,11.8,12.15,11.3,11.41,35309600,10.074
2007-07-02,11.4,11.75,10.81,11.52,25343500,10.171
2007-07-03,11.61,11.75,11.13,11.55,18039200,10.198
2007-07-04,11.6,11.74,11.25,11.41,15594500,10.074
2007-07-05,11.2,11.32,10.27,10.27,24844600,9.068
2007-07-06,10.0,10.77,9.75,10.7,34209600,9.447000000000001
2007-07-09,10.78,11.19,10.58,10.99,26082200,9.703
2007-07-10,10.96,10.96,10.31,10.34,19789900,9.129
2007-07-11,10.2,10.55,10.14,10.37,10436100,9.156
2007-07-12,10.4,10.91,10.38,10.75,17828700,9.491
2007-07-13,10.73,10.73,10.41,10.56,9833700,9.324
2007-07-16,10.5,10.59,10.05,10.07,11238300,8.891
2007-07-17,9.97,10.58,9.9,10.35,12855000,9.138
2007-07-18,10.29,10.78,10.21,10.49,17165900,9.262
2007-07-19,10.49,10.7,10.45,10.56,7587800,9.324
2007-07-20,10.56,11.18,10.55,11.12,27142200,9.818
2007-07-23,11.27,11.81,11.27,11.75,34630400,10.374
2007-07-24,11.85,12.35,11.7,11.85,34016700,10.463
2007-07-25,11.8,12.3,11.75,12.19,25113600,10.763
2007-07-26,12.3,12.37,12.06,12.28,23961200,10.842
2007-07-27,12.31,12.98,12.14,12.8,34207300,11.300999999999998
2007-07-30,12.86,13.49,12.86,13.46,35243800,11.884
2007-07-31,13.42,13.65,13.11,13.45,28911100,11.875
2007-08-01,13.45,13.5,12.29,12.36,38054500,10.913
2007-08-02,12.29,12.99,12.29,12.87,28173600,11.363
2007-08-03,13.11,13.44,12.77,13.27,37023900,11.716
2007-08-06,13.4,13.98,13.39,13.79,40977700,12.175
2007-08-07,13.79,14.19,13.25,13.83,42056400,12.210999999999999
2007-08-08,13.75,13.83,12.81,13.19,30018700,11.645999999999999
2007-08-09,13.11,13.3,12.9,12.96,25367000,11.443
2007-08-10,12.9,12.92,12.21,12.52,26295500,11.054
2007-08-13,12.45,12.95,12.38,12.74,22055700,11.248
2007-08-14,12.74,12.91,12.58,12.82,16295900,11.319
2007-08-15,12.85,13.09,12.25,12.55,19290600,11.081
2007-08-16,12.56,12.92,12.56,12.69,18386300,11.204
2007-08-17,12.6,13.25,12.45,13.02,35784300,11.495999999999999
2007-08-20,13.2,13.62,13.2,13.52,33814500,11.937000000000001
2007-08-21,13.6,13.84,13.32,13.79,43874600,12.175
2007-08-22,13.5,15.17,13.4,15.17,134142800,13.394
2007-08-23,15.48,16.69,15.29,16.58,160160000,14.639000000000001
2007-08-24,16.59,18.11,16.0,17.6,97240700,15.539000000000001
2007-08-27,17.6,17.6,17.6,17.6,0,15.539000000000001
2007-08-28,17.98,19.36,17.02,17.28,93043600,15.257
2007-08-29,17.0,19.01,16.68,19.01,94036700,16.784000000000002
2007-08-30,19.42,20.9,18.8,19.99,71723800,17.65
2007-08-31,19.94,20.35,19.21,19.3,51651400,17.04
2007-09-03,19.5,20.17,19.05,19.25,47803500,16.996
